ScenarioID,Iteration,Timestep,SecondaryStratumID,StockGroupID,Amount
74,1,2001,North Dakota,DOM: Litter,712054.4589012861
74,1,2001,North Dakota,DOM: Soil,6579240.99054262
74,1,2001,North Dakota,DOM: Standing Deadwood,13035.270025305363
74,1,2001,North Dakota,DOM: Down Deadwood,663354.388435185
74,1,2001,Nevada,Atmosphere: CH4 [Type],0
74,1,2001,Nevada,Atmosphere: CO2 [Type],0
74,1,2001,Nevada,Atmosphere: CO [Type],0
74,1,2001,Nevada,Biomass: Coarse Root [Type],11610684.836875647
74,1,2001,Nevada,Biomass: Fine Root [Type],3950904.897654429
74,1,2001,Nevada,Biomass: Foliage [Type],10301697.143028304
74,1,2001,Nevada,Biomass: Merchantable [Type],14073421.306284156
74,1,2001,Nevada,Biomass: Other Wood [Type],42276527.46036537
74,1,2001,Nevada,DOM: Aboveground Fast [Type],16808356.49011135
74,1,2001,Nevada,DOM: Aboveground Medium [Type],5249206.710553169
74,1,2001,Nevada,DOM: Aboveground Slow [Type],60443936.3969326
74,1,2001,Nevada,DOM: Aboveground Very Fast [Type],5804492.380428314
74,1,2001,Nevada,DOM: Belowground Fast [Type],1934239.839527011
74,1,2001,Nevada,DOM: Belowground Slow [Type],191926595.104599
74,1,2001,Nevada,DOM: Belowground Very Fast [Type],1354157.412365079
74,1,2001,Nevada,DOM: Black Carbon [Type],0
74,1,2001,Nevada,DOM: Snag Branch [Type],2265429.046733759
74,1,2001,Nevada,DOM: Snag Stem [Type],1100388.4144763132
74,1,2001,Nevada,Forestry Sector [Type],0
74,1,2001,Nevada,Atmosphere [Type],0
74,1,2001,Nevada,Black Carbon [Type],0
74,1,2001,Nevada,Peat [Type],0
74,1,2001,Nevada,Biomass: Aboveground,66651645.909677766
74,1,2001,Nevada,Biomass: Belowground,15561589.734530076
74,1,2001,Nevada,Biomass: Total,82213235.64420778
74,1,2001,Nevada,DOM: Aboveground,3365817.4612100897
74,1,2001,Nevada,DOM: Belowground,283520984.3345165
